feature,coefficient
duration_standardized,0.28731916216523185
amount_standardized,0.4061854967970613
age_standardized,-0.008126724248773495
status=checking_balance_below_0_DM,-0.23174541634376378
status=checking_balance_0_to_below_200_DM,-0.9789646204084138
status=checking_balance_at_least_200_DM_or_salary_account,-1.5420877384755476
credit_history=critical_account_or_other_credits_elsewhere,0.4888820980609399
credit_history=no_credits_taken_or_all_paid_back_duly,-0.05815394146192217
credit_history=existing_credits_paid_back_duly_until_now,-0.8277684084263133
credit_history=all_credits_at_this_bank_paid_back_duly,-1.3303229846342013
purpose=new_car,-1.5925077719116176
purpose=business,-0.8212706923295527
purpose=used_car,-0.5521915592397337
purpose=furniture_or_equipment,-0.7090760876491436
purpose=radio_or_television,-0.19696911094266628
purpose=domestic_appliances,0.2369765040695151
purpose=repairs,0.3015971279982569
purpose=vacation,-0.5440597221124966
purpose=retraining,-0.470444869972722
savings=savings_below_100_DM,-0.19704210850975273
savings=savings_100_to_below_500_DM,-0.3626509791420962
savings=savings_500_to_below_1000_DM,-1.1394261895710973
savings=savings_at_least_1000_DM,-0.867372376683861
employment_duration=employed_below_1_year,-0.09476375887446102
employment_duration=employed_1_to_below_4_years,-0.14552020683267577
employment_duration=employed_4_to_below_7_years,-0.8747210415994218
employment_duration=employed_at_least_7_years,-0.29104659250792164
installment_rate=installment_rate_25_to_below_35_percent,0.24610323482427957
installment_rate=installment_rate_20_to_below_25_percent,0.46368428373970155
installment_rate=installment_rate_below_20_percent,0.8178230443200483
personal_status_sex=female_non_single_or_male_single,0.2431963319141824
personal_status_sex=male_married_or_widowed,-0.6176617098197196
personal_status_sex=female_single,-0.16840957682648225
other_debtors=co_applicant,0.3252315197738298
other_debtors=guarantor,-0.9594853868998601
present_residence=residence_1_to_below_4_years,0.497191054749778
present_residence=residence_4_to_below_7_years,0.4109739249104875
present_residence=residence_at_least_7_years,0.20861609729914046
property=car_or_other_property,0.457173614119592
property=building_savings_agreement_or_life_insurance,-0.005830230409045623
property=real_estate,0.6071684095827
other_installment_plans=stores,-0.04370961426166877
other_installment_plans=none,-0.4805033248752125
housing=rent,-0.3798455549649004
housing=own,-0.32551765696821017
number_credits=two_or_three_credits,0.5681976567283473
number_credits=four_or_five_credits,0.16106543225053221
number_credits=at_least_six_credits,-0.07185452168977104
job=unskilled_resident,0.41605252441361323
job=skilled_employee_or_official,0.5538300295948082
job=manager_self_employed_or_highly_qualified_employee,0.5540419368865822
people_liable=zero_to_two_people_liable,-0.21047507109692518
telephone=telephone_under_customer_name,-0.3011228914387271
foreign_worker=no,0.9246035243046511
